nid,title,,,,projectcity,projectstate,office,category,,projectdescrip
189,New Phoebe House,,,,Seattle,Washington,Seattle,Charitable,,
190,La Vista Apartments,,,,Concord,California,Sacramento,Repair and Restoration,,
191,Von Housen Mercedes Benz Dealership,,,,Rocklin,California,Sacramento,Auto Dealerships,,
192,Orleans Hotel,,,,Sacramento,California,Sacramento,Hospitality,,
193,Merrill Gardens,,,,Multiple Locations,California,Sacramento,Multi-Family Housing,,
194,Peninsula Real Luxury Condominiums and Townhomes,,,,Los Altos,California,Sacramento,Multi-Family Housing,,
195,Oakwalk Condominiums,,,,Emeryville,California,Sacramento,Multi-Family Housing,,
196,Birch Terrace Condominiums,,,,Pleasanton,California,Sacramento,Multi-Family Housing,,
197,Villa Granada,,,,Santa Clara,California,Sacramento,Multi-Family Housing,,
198,Board of Equalization - Repair of Exterior Curtain Wall,,,,Sacramento,California,Sacramento,Office,,
199,1800 Skyline,,,,Anacortes,Washington,Seattle,Repair and Restoration,,
200,Bordeaux Condominiums,,,,Sammamish,Washington,Seattle,Repair and Restoration,,
201,Cherry Lane Condominiums,,,,Seattle,Washington,Seattle,Repair and Restoration,,
202,Daybreak Condominiums,,,,Issaquah,Washington,Seattle,Repair and Restoration,,
203,Fountain Court Condominiums,,,,Kirkland,Washington,Seattle,Repair and Restoration,,
204,Indian Summer Golf Course and Country Club,,,,Olympia,Washington,Seattle,Repair and Restoration,,
205,Lakehurst,,,,Lake City,Washington,Seattle,Repair and Restoration,,
206,Post Alley Apartments,,,,Seattle,Washington,Seattle,Repair and Restoration,,
207,Redmill Condominiums,,,,Renton,Washington,Seattle,Repair and Restoration,,
208,Sammamish Hills Condominiums,,,,Issaquah,Washington,Seattle,Repair and Restoration,,
209,Woodlands Condominiums,,,,Everett,Washington,Seattle,Repair and Restoration,,
210,Twelve Central Square,,,,Bellevue,Washington,Seattle,Repair and Restoration,,
211,Private Residence,,,,Seattle,Washington,Seattle,Repair and Restoration,,
212,Waterford Place Apartments,,,,Everett,Washington,Seattle,Repair and Restoration,,
213,Triangle Pointe,,,,Tigard,Oregon,Portland,Office,,
214,S.D. Deacon Office Building,,,,Portland,Oregon,Portland,Office,,
215,Rabbit Hills,,,,Bend,Oregon,Portland,Multi-Family Housing,,
216,North Albany Village,,,,Albany,Oregon,Portland,Mixed-Use,,
217,Greenback Building,,,,Citrus Heights,California,Sacramento,Office,,
218,Corvallis Station,,,,Corvallis,Oregon,Portland,Mixed-Use,,
219,520 Building,,,,Bellevue,Washington,Portland,Office,,
220,Hollywood Station,,,,Portland,Oregon,Portland,Mixed-Use,,
221,Madrona Heights Condominiums,,,,Oak Harbor,Washington,Seattle,Repair and Restoration,,
222,Harbour House,,,,Seattle,Washington,Seattle,Repair and Restoration,,
223,Ballard Condominiums,,,,Seattle,Washington,Seattle,Repair and Restoration,,
224,Lakeside West,,,,Seattle,Washington,Seattle,Repair and Restoration,,
225,Riverfront Landing,,,,Bothell,Washington,Seattle,Repair and Restoration,,
226,Medical Office Building ll,,,,Tracy,California,Sacramento,Medical and Healthcare,,
227,REI,,,,Multiple Locations,,Multiple Locations,Retail,,
